District,Year,november,december,january,february,Yield
KISHANGANJ,2008,0.432,0.378,0.407,0.404,1.2
KISHANGANJ,2009,0.542,0.36,0.399,0.425,1.24
KISHANGANJ,2010,0.559,0.392,0.366,0.427,1.22
KISHANGANJ,2011,0.542,0.391,0.359,0.399,1.53
KISHANGANJ,2012,0.588,0.402,0.403,0.449,1.87
KISHANGANJ,2013,0.515,0.399,0.43,0.456,2.85
KISHANGANJ,2014,0.554,0.41,0.462,0.447,1.18
LAKHISARAI,2006,0.473,0.435,0.505,0.616,2.46
LAKHISARAI,2007,0.514,0.417,0.607,0.627,2.64
LAKHISARAI,2008,0.476,0.444,0.577,0.551,1.82
LAKHISARAI,2009,0.523,0.428,0.513,0.569,1.87
LAKHISARAI,2010,0.508,0.453,0.52,0.573,1.76
LAKHISARAI,2011,0.522,0.408,0.541,0.6,2.5
LAKHISARAI,2012,0.494,0.501,0.545,0.649,2.9
LAKHISARAI,2013,0.484,0.429,0.602,0.657,3.28
LAKHISARAI,2014,0.468,0.457,0.594,0.631,2.27
MADHEPURA,2006,0.482,0.397,0.455,0.62,1.45
MADHEPURA,2007,0.519,0.375,0.601,0.608,1.61
MADHEPURA,2008,0.429,0.373,0.479,0.57,2.22
MADHEPURA,2009,0.496,0.35,0.469,0.554,2.47
MADHEPURA,2010,0.482,0.373,0.505,0.599,1.93
MADHEPURA,2011,0.495,0.377,0.538,0.586,3.3
MADHEPURA,2012,0.529,0.349,0.449,0.616,2.53
MADHEPURA,2013,0.494,0.358,0.58,0.62,2.87
MADHEPURA,2014,0.488,0.449,0.61,0.645,2.3
MADUBANI,2006,0.45,0.409,0.462,0.576,1.6
MADUBANI,2007,0.512,0.376,0.555,0.56,1.84
MADUBANI,2008,0.456,0.374,0.548,0.553,1.58
MADUBANI,2009,0.498,0.357,0.436,0.56,2.13
MADUBANI,2010,0.518,0.376,0.477,0.565,2.37
MADUBANI,2011,0.498,0.394,0.51,0.563,2.17
MADUBANI,2012,0.531,0.382,0.456,0.581,2.07
MADUBANI,2013,0.527,0.398,0.521,0.601,2.12
MADUBANI,2014,0.552,0.441,0.569,0.598,0.79
MUNGER,2006,0.502,0.437,0.475,0.574,1.85
MUNGER,2007,0.508,0.401,0.554,0.572,2.26
MUNGER,2008,0.455,0.431,0.537,0.516,1.8
MUNGER,2009,0.528,0.413,0.47,0.513,2.17
MUNGER,2010,0.528,0.434,0.47,0.533,1.81
MUNGER,2011,0.528,0.408,0.555,0.561,2.86
MUNGER,2012,0.507,0.43,0.463,0.582,2.63
MUNGER,2013,0.471,0.375,0.523,0.584,2.48
MUNGER,2014,0.454,0.448,0.555,0.591,1.63
MUZAFFARPUR,2006,0.436,0.449,0.524,0.661,1.92
MUZAFFARPUR,2007,0.429,0.386,0.609,0.636,2.67
MUZAFFARPUR,2008,0.401,0.416,0.638,0.636,1.95
MUZAFFARPUR,2009,0.441,0.429,0.568,0.626,1.65
MUZAFFARPUR,2010,0.503,0.39,0.555,0.644,2.46
MUZAFFARPUR,2011,0.441,0.416,0.595,0.626,4.05
MUZAFFARPUR,2012,0.49,0.398,0.558,0.69,3.03
MUZAFFARPUR,2013,0.453,0.427,0.654,0.676,3.56
MUZAFFARPUR,2014,0.432,0.514,0.641,0.642,1.47
NALANDA,2006,0.453,0.415,0.527,0.676,1.91
NALANDA,2007,0.55,0.406,0.626,0.648,2.03
NALANDA,2008,0.494,0.407,0.612,0.591,1.62
NALANDA,2009,0.441,0.493,0.588,0.604,1.55
NALANDA,2010,0.543,0.417,0.495,0.585,2.09
NALANDA,2011,0.44,0.379,0.563,0.645,2.83
NALANDA,2012,0.574,0.392,0.505,0.663,2.77
NALANDA,2013,0.486,0.464,0.595,0.667,2.8
NALANDA,2014,0.429,0.427,0.649,0.661,2.07
NAWADA,2006,0.423,0.402,0.455,0.584,2.15
NAWADA,2007,0.575,0.354,0.553,0.572,2.54
NAWADA,2008,0.488,0.354,0.507,0.526,2.17
NAWADA,2009,0.495,0.43,0.514,0.543,1.83
NAWADA,2010,0.547,0.414,0.483,0.547,2.03
NAWADA,2011,0.495,0.362,0.528,0.58,2.59
NAWADA,2012,0.568,0.408,0.483,0.596,2.49
NAWADA,2013,0.537,0.438,0.583,0.622,2.44
NAWADA,2014,0.423,0.396,0.577,0.605,1.79
PACHIM CHAMPARAN,2006,0.502,0.452,0.446,0.557,1.91
PACHIM CHAMPARAN,2007,0.493,0.406,0.512,0.5,2.47
PACHIM CHAMPARAN,2008,0.416,0.42,0.491,0.524,2.86
PACHIM CHAMPARAN,2009,0.459,0.385,0.473,0.55,2.1
