District,Year,june,july,august,september,october,Yield
BEGUSARAI,2007,0.312,0.396,0.412,0.421,0.403,3.55
BEGUSARAI,2008,0.295,0.402,0.538,0.509,0.536,3.23
BEGUSARAI,2009,0.318,0.433,0.577,0.63,0.495,2.42
BEGUSARAI,2010,0.301,0.441,0.565,0.561,0.487,3.07
BEGUSARAI,2011,0.334,0.433,0.577,0.63,0.495,3.33
BEGUSARAI,2012,0.268,0.314,0.604,0.64,0.534,5
BEGUSARAI,2013,0.394,0.534,0.591,0.53,0.512,2.8
BEGUSARAI,2014,0.335,0.506,0.573,0.61,0.504,4.25
BHABUA,2006,0.284,0.375,0.508,0.739,0.695,0
BHABUA,2007,0.275,0.34,0.435,0.738,0.744,0
BHABUA,2008,0.23,0.265,0.611,0.79,0.737,0
BHABUA,2009,0.2,0.297,0.393,0.624,0.659,0
BHABUA,2010,0.198,0.319,0.454,0.74,0.744,0
BHABUA,2011,0.232,0.298,0.393,0.624,0.659,0
BHABUA,2012,0.193,0.294,0.537,0.799,0.749,0
BHABUA,2013,0.233,0.351,0.549,0.739,0.784,0
BHABUA,2014,0.218,0.331,0.39,0.669,0.723,0
BHAGALPUR,2006,0.409,0.519,0.552,0.565,0.592,1.85
BHAGALPUR,2007,0.466,0.533,0.409,0.525,0.546,3.69
BHAGALPUR,2008,0.36,0.47,0.456,0.54,0.599,1.8
BHAGALPUR,2009,0.4,0.536,0.498,0.644,0.574,2.88
BHAGALPUR,2010,0.314,0.554,0.558,0.525,0.54,4.88
BHAGALPUR,2011,0.437,0.537,0.498,0.644,0.573,5.34
BHAGALPUR,2012,0.259,0.349,0.574,0.596,0.565,5.67
BHAGALPUR,2013,0.459,0.533,0.477,0.49,0.563,5.21
BHAGALPUR,2014,0.367,0.497,0.496,0.613,0.604,4.09
BHOJPUR,2006,0.35,0.356,0.448,0.671,0.65,1.91
BHOJPUR,2007,0.287,0.366,0.391,0.723,0.686,3.33
BHOJPUR,2008,0.3,0.299,0.505,0.684,0.67,3.23
BHOJPUR,2009,0.297,0.316,0.367,0.649,0.63,3.09
BHOJPUR,2010,0.213,0.364,0.488,0.628,0.638,4.03
BHOJPUR,2011,0.307,0.316,0.367,0.649,0.629,4.43
BHOJPUR,2012,0.208,0.373,0.473,0.735,0.688,5.18
BHOJPUR,2013,0.319,0.386,0.41,0.595,0.666,4.82
BHOJPUR,2014,0.282,0.375,0.357,0.695,0.698,4.16
BUXAR,2006,0.318,0.35,0.501,0.703,0.689,1.11
BUXAR,2007,0.26,0.348,0.385,0.742,0.724,2.91
BUXAR,2008,0.264,0.24,0.539,0.734,0.696,3.2
BUXAR,2009,0.226,0.256,0.345,0.617,0.612,3.12
BUXAR,2010,0.193,0.337,0.443,0.64,0.655,4
BUXAR,2011,0.292,0.256,0.346,0.616,0.611,4.41
BUXAR,2012,0.201,0.332,0.55,0.751,0.696,6.26
BUXAR,2013,0.263,0.356,0.492,0.654,0.708,4.81
BUXAR,2014,0.26,0.333,0.38,0.683,0.706,3.88
DRABHANGA,2006,0.381,0.429,0.495,0.599,0.585,2.51
DRABHANGA,2007,0.378,0.435,0.234,0.451,0.505,3.03
DRABHANGA,2008,0.39,0.416,0.493,0.691,0.679,3.23
DRABHANGA,2009,0.439,0.465,0.447,0.667,0.635,3.08
DRABHANGA,2010,0.383,0.442,0.491,0.678,0.646,4.45
DRABHANGA,2011,0.471,0.465,0.447,0.668,0.635,3.46
DRABHANGA,2012,0.335,0.327,0.557,0.722,0.69,4.93
DRABHANGA,2013,0.471,0.456,0.614,0.679,0.664,4.82
DRABHANGA,2014,0.379,0.457,0.515,0.639,0.679,2.94
GAYA,2006,0.322,0.456,0.546,0.668,0.612,1.77
GAYA,2007,0.299,0.395,0.413,0.713,0.703,3.6
GAYA,2008,0.32,0.377,0.518,0.679,0.651,3.24
GAYA,2009,0.329,0.421,0.467,0.555,0.559,3.1
GAYA,2010,0.229,0.406,0.533,0.547,0.55,4.21
GAYA,2011,0.299,0.422,0.467,0.555,0.559,4.46
GAYA,2012,0.231,0.335,0.525,0.698,0.679,5.42
GAYA,2013,0.38,0.503,0.51,0.586,0.621,4.82
GAYA,2014,0.361,0.515,0.487,0.704,0.713,4.1
GOPALGANJ,2006,0.344,0.447,0.621,0.707,0.605,1.83
GOPALGANJ,2007,0.318,0.387,0.508,0.646,0.6,1.83
GOPALGANJ,2008,0.31,0.375,0.601,0.659,0.577,3.26
GOPALGANJ,2009,0.345,0.34,0.564,0.698,0.588,1.72
GOPALGANJ,2010,0.276,0.393,0.569,0.673,0.669,2.95
GOPALGANJ,2011,0.311,0.34,0.564,0.698,0.588,3.7
GOPALGANJ,2012,0.246,0.295,0.674,0.727,0.66,2.84
GOPALGANJ,2013,0.357,0.427,0.609,0.688,0.659,4.82
GOPALGANJ,2014,0.334,0.432,0.609,0.717,0.648,3.47
JAHANABAD,2006,0.317,0.402,0.525,0.692,0.642,2.18
JAHANABAD,2007,0.321,0.388,0.374,0.752,0.753,3.56
JAHANABAD,2008,0.345,0.332,0.536,0.73,0.717,3.24
JAHANABAD,2009,0.391,0.417,0.459,0.548,0.549,3.11
JAHANABAD,2010,0.236,0.389,0.504,0.574,0.556,3.9
JAHANABAD,2011,0.28,0.416,0.459,0.548,0.549,4.53
JAHANABAD,2012,0.236,0.324,0.467,0.748,0.728,6.01
JAHANABAD,2013,0.381,0.515,0.491,0.617,0.65,4.82
JAHANABAD,2014,0.328,0.482,0.506,0.717,0.74,4.21
JAMUI,2006,0.388,0.459,0.552,0.721,0.694,1.04
JAMUI,2007,0.392,0.441,0.441,0.723,0.707,2.95
JAMUI,2008,0.343,0.454,0.481,0.712,0.705,3.2
JAMUI,2009,0.399,0.466,0.478,0.64,0.685,1.5
JAMUI,2010,0.301,0.505,0.493,0.604,0.603,2.32
JAMUI,2011,0.423,0.465,0.478,0.64,0.685,3.65
JAMUI,2012,0.249,0.353,0.539,0.623,0.638,6.03
JAMUI,2013,0.468,0.54,0.517,0.649,0.698,1.96
JAMUI,2014,0.399,0.522,0.514,0.754,0.75,3.89
KATIHAR,2006,0.548,0.58,0.631,0.658,0.663,3.63
KATIHAR,2007,0.537,0.565,0.544,0.642,0.633,3.56
KATIHAR,2008,0.492,0.525,0.535,0.638,0.667,3.04
KATIHAR,2009,0.517,0.544,0.531,0.723,0.62,3.47
KATIHAR,2010,0.488,0.537,0.546,0.639,0.645,4
KATIHAR,2011,0.564,0.544,0.531,0.723,0.62,3.24
KATIHAR,2012,0.407,0.44,0.658,0.702,0.654,6.3
KATIHAR,2013,0.573,0.504,0.557,0.674,0.634,4.88
KATIHAR,2014,0.463,0.523,0.573,0.721,0.667,5.45
KHAGARIA,2006,0.332,0.487,0.586,0.572,0.509,1.92
KHAGARIA,2007,0.37,0.426,0.278,0.199,0.298,3.58
KHAGARIA,2008,0.316,0.403,0.442,0.441,0.491,3.23
KHAGARIA,2009,0.383,0.533,0.537,0.586,0.526,2.4
KHAGARIA,2010,0.338,0.425,0.539,0.531,0.504,3.19
KHAGARIA,2011,0.401,0.533,0.538,0.586,0.527,3.41
KHAGARIA,2012,0.314,0.266,0.557,0.664,0.581,4.83
KHAGARIA,2013,0.454,0.468,0.507,0.541,0.564,3.15
KHAGARIA,2014,0.362,0.454,0.542,0.598,0.582,4.1
KISHANGANJ,2006,0.609,0.535,0.635,0.739,0.699,3.19
KISHANGANJ,2007,0.571,0.516,0.546,0.747,0.708,4.05
KISHANGANJ,2008,0.576,0.474,0.566,0.764,0.682,3.63
KISHANGANJ,2009,0.562,0.488,0.531,0.761,0.717,3.72
KISHANGANJ,2010,0.605,0.497,0.553,0.724,0.734,3.54
KISHANGANJ,2011,0.62,0.488,0.531,0.761,0.717,3.82
KISHANGANJ,2012,0.555,0.519,0.727,0.763,0.738,4.27
KISHANGANJ,2013,0.651,0.45,0.653,0.787,0.737,4.69
KISHANGANJ,2014,0.575,0.535,0.635,0.768,0.739,4.12
LAKHISARAI,2006,0.314,0.419,0.501,0.612,0.596,3.4
LAKHISARAI,2007,0.313,0.407,0.353,0.619,0.617,1.25
LAKHISARAI,2008,0.281,0.375,0.408,0.597,0.631,2.75
LAKHISARAI,2009,0.326,0.405,0.448,0.601,0.614,1.33
LAKHISARAI,2010,0.252,0.423,0.475,0.537,0.521,2.2
LAKHISARAI,2011,0.36,0.405,0.448,0.601,0.613,6.27
LAKHISARAI,2012,0.22,0.372,0.516,0.55,0.548,6.4
LAKHISARAI,2013,0.401,0.516,0.462,0.529,0.614,6
LAKHISARAI,2014,0.354,0.47,0.469,0.661,0.647,6.7
MADHEPURA,2006,0.536,0.532,0.622,0.715,0.669,2.88
MADHEPURA,2007,0.523,0.541,0.521,0.706,0.647,4.9
MADHEPURA,2008,0.527,0.493,0.489,0.464,0.524,3.11
MADHEPURA,2009,0.582,0.564,0.551,0.753,0.693,2.71
MADHEPURA,2010,0.579,0.51,0.543,0.697,0.679,3.14
MADHEPURA,2011,0.64,0.565,0.551,0.754,0.694,6.68
MADHEPURA,2012,0.466,0.456,0.6,0.751,0.714,7.81
MADHEPURA,2013,0.647,0.505,0.564,0.716,0.705,5.64
MADHEPURA,2014,0.541,0.487,0.581,0.745,0.731,5.39
MADUBANI,2006,0.384,0.414,0.518,0.622,0.639,2.18
MADUBANI,2007,0.397,0.412,0.425,0.679,0.677,3.43
MADUBANI,2008,0.448,0.426,0.543,0.737,0.702,3.23
MADUBANI,2009,0.438,0.45,0.477,0.736,0.702,3.08
MADUBANI,2010,0.373,0.453,0.511,0.69,0.689,4.5
MADUBANI,2011,0.5,0.45,0.477,0.736,0.702,3.72
MADUBANI,2012,0.35,0.374,0.565,0.679,0.687,4.24
MADUBANI,2013,0.481,0.455,0.62,0.72,0.707,4.82
MADUBANI,2014,0.41,0.488,0.605,0.721,0.74,2.86
MUNGER,2006,0.363,0.453,0.5,0.601,0.605,1.95
MUNGER,2007,0.374,0.48,0.392,0.611,0.603,3.25
MUNGER,2008,0.318,0.407,0.446,0.583,0.626,3.22
MUNGER,2009,0.361,0.53,0.486,0.668,0.639,1.86
MUNGER,2010,0.258,0.486,0.51,0.553,0.571,2.53
MUNGER,2011,0.374,0.53,0.486,0.668,0.638,3.58
MUNGER,2012,0.225,0.345,0.502,0.622,0.593,3.68
MUNGER,2013,0.426,0.486,0.426,0.512,0.6,4.34
MUNGER,2014,0.377,0.497,0.474,0.641,0.641,3.95
MUZAFFARPUR,2006,0.385,0.409,0.527,0.624,0.576,1.88
MUZAFFARPUR,2007,0.376,0.393,0.335,0.483,0.51,1.09
MUZAFFARPUR,2008,0.39,0.4,0.513,0.661,0.642,3.27
MUZAFFARPUR,2009,0.439,0.421,0.523,0.666,0.587,1.82
MUZAFFARPUR,2010,0.347,0.434,0.471,0.619,0.619,2.63
MUZAFFARPUR,2011,0.443,0.421,0.523,0.667,0.587,3.79
MUZAFFARPUR,2012,0.322,0.332,0.592,0.715,0.67,6.02
MUZAFFARPUR,2013,0.462,0.467,0.538,0.667,0.65,4.94
MUZAFFARPUR,2014,0.404,0.484,0.549,0.66,0.651,4.09
NALANDA,2006,0.311,0.391,0.493,0.697,0.644,1.41
NALANDA,2007,0.339,0.418,0.274,0.637,0.638,3.99
NALANDA,2008,0.316,0.343,0.414,0.683,0.669,3.26
NALANDA,2009,0.397,0.453,0.503,0.609,0.555,3.1
