District,Year,october,november,december,january,february,Yield
Agra,2006,0.29,0.341,0.608,0.663,0.687,2.77
Agra,2007,0.301,0.256,0.524,0.636,0.621,3.15
Agra,2008,0.341,0.391,0.637,0.692,0.643,3.29
Agra,2009,0.411,0.384,0.619,0.712,0.693,3.18
Agra,2010,0.41,0.328,0.517,0.658,0.725,3.7
Agra,2011,0.411,0.383,0.582,0.69,0.658,3.9
Agra,2012,0.409,0.379,0.552,0.665,0.704,3.83
Agra,2013,0.446,0.391,0.667,0.749,0.73,3.71
Agra,2014,0.419,0.354,0.568,0.732,0.722,2.41
Agra,2015,0.361,0.275,0.562,0.674,0.688,3.23
Agra,2016,0.36,0.349,0.606,0.705,0.722,4.08
Agra,2017,0.378,0.353,0.62,0.711,0.691,4.04
Agra,2018,0.445,0.376,0.607,0.728,0.702,4.37
Aligarh,2006,0.416,0.344,0.531,0.625,0.721,2.86
Aligarh,2007,0.439,0.327,0.426,0.634,0.63,3.22
Aligarh,2008,0.455,0.378,0.49,0.645,0.673,3.39
Aligarh,2009,0.493,0.369,0.484,0.664,0.704,3.19
Aligarh,2010,0.494,0.346,0.41,0.569,0.725,3.55
Aligarh,2011,0.493,0.369,0.467,0.643,0.622,3.77
Aligarh,2012,0.478,0.365,0.467,0.622,0.711,3.47
Aligarh,2013,0.525,0.377,0.536,0.712,0.741,3.6
Aligarh,2014,0.498,0.325,0.477,0.731,0.732,2.45
Aligarh,2015,0.496,0.326,0.501,0.631,0.701,3.28
Aligarh,2016,0.458,0.364,0.509,0.707,0.734,3.98
Aligarh,2017,0.48,0.368,0.589,0.717,0.737,4.3
Aligarh,2018,0.536,0.373,0.555,0.714,0.728,4.27
Allahabad,2006,0.619,0.426,0.483,0.547,0.617,2.34
Allahabad,2007,0.65,0.457,0.382,0.559,0.587,2.23
Allahabad,2008,0.605,0.44,0.453,0.621,0.602,2.49
Allahabad,2009,0.561,0.434,0.49,0.633,0.636,2.14
Allahabad,2010,0.627,0.505,0.403,0.527,0.615,2.47
Allahabad,2011,0.561,0.434,0.409,0.604,0.654,2.64
Allahabad,2012,0.641,0.462,0.392,0.573,0.689,2.49
Allahabad,2013,0.637,0.512,0.397,0.58,0.681,2.44
Allahabad,2014,0.661,0.43,0.429,0.66,0.668,1.36
Allahabad,2015,0.596,0.373,0.37,0.543,0.609,1.91
Allahabad,2016,0.668,0.496,0.392,0.635,0.677,3
Allahabad,2017,0.648,0.45,0.42,0.592,0.636,3.76
Allahabad,2018,0.635,0.48,0.402,0.62,0.678,3.55
Ambedhkarnagar,2006,0.688,0.427,0.505,0.564,0.687,2.96
Ambedhkarnagar,2007,0.69,0.453,0.432,0.635,0.653,3.24
Ambedhkarnagar,2008,0.639,0.418,0.43,0.665,0.68,3.31
Ambedhkarnagar,2009,0.662,0.443,0.441,0.635,0.705,3.13
Ambedhkarnagar,2010,0.7,0.509,0.399,0.575,0.716,3.35
Ambedhkarnagar,2011,0.662,0.443,0.435,0.64,0.696,3.36
Ambedhkarnagar,2012,0.682,0.461,0.412,0.588,0.727,3.34
Ambedhkarnagar,2013,0.707,0.46,0.468,0.561,0.717,3.44
Ambedhkarnagar,2014,0.68,0.434,0.48,0.676,0.704,2.3
Ambedhkarnagar,2015,0.645,0.436,0.418,0.611,0.692,3.18
Ambedhkarnagar,2016,0.682,0.47,0.44,0.683,0.721,3.55
Ambedhkarnagar,2017,0.68,0.47,0.5,0.622,0.707,4.11
Ambedhkarnagar,2018,0.652,0.476,0.426,0.657,0.722,4.1
Amethi,2006,0.609,0.439,0.477,0.556,0.629,2.86
Amethi,2007,0.642,0.424,0.418,0.559,0.584,2.86
Amethi,2008,0.593,0.438,0.462,0.607,0.608,2.86
Amethi,2009,0.63,0.478,0.443,0.609,0.655,2.86
Amethi,2010,0.615,0.488,0.426,0.548,0.663,2.79
Amethi,2011,0.63,0.478,0.423,0.599,0.66,2.87
Amethi,2012,0.618,0.444,0.411,0.557,0.698,3.06
Amethi,2013,0.689,0.447,0.462,0.57,0.674,2.38
Amethi,2014,0.653,0.423,0.496,0.682,0.679,1.82
Amethi,2015,0.612,0.383,0.422,0.573,0.633,2.38
Amethi,2016,0.657,0.469,0.436,0.641,0.704,3.06
Amethi,2017,0.678,0.441,0.484,0.635,0.68,3.88
Amethi,2018,0.646,0.46,0.451,0.66,0.717,3.54
Auraiya,2006,0.506,0.387,0.427,0.546,0.663,3.14
Auraiya,2007,0.472,0.329,0.374,0.575,0.59,3.06
Auraiya,2008,0.521,0.412,0.423,0.606,0.637,3.54
Auraiya,2009,0.533,0.412,0.449,0.617,0.665,2.87
Auraiya,2010,0.551,0.461,0.41,0.507,0.677,3.75
Auraiya,2011,0.533,0.412,0.405,0.575,0.64,3.85
Auraiya,2012,0.568,0.396,0.392,0.545,0.7,3.63
Auraiya,2013,0.584,0.438,0.492,0.674,0.707,3.81
Auraiya,2014,0.569,0.352,0.381,0.678,0.697,2.26
Auraiya,2015,0.482,0.401,0.428,0.583,0.667,3.08
Auraiya,2016,0.53,0.364,0.438,0.672,0.722,4.02
Auraiya,2017,0.578,0.374,0.499,0.67,0.72,3.88
Auraiya,2018,0.574,0.403,0.449,0.674,0.713,4.14
Azamgarh,2006,0.618,0.429,0.459,0.498,0.654,2.45
Azamgarh,2007,0.664,0.438,0.391,0.602,0.616,2.59
Azamgarh,2008,0.593,0.407,0.407,0.62,0.635,2.73
Azamgarh,2009,0.585,0.436,0.403,0.608,0.67,2.59
Azamgarh,2010,0.636,0.496,0.391,0.56,0.658,2.8
Azamgarh,2011,0.585,0.436,0.404,0.599,0.646,2.89
Azamgarh,2012,0.629,0.445,0.388,0.572,0.708,2.94
Azamgarh,2013,0.655,0.455,0.439,0.574,0.691,3.09
Azamgarh,2014,0.66,0.459,0.452,0.669,0.659,2.12
Azamgarh,2015,0.61,0.448,0.38,0.545,0.663,2.73
Azamgarh,2016,0.67,0.408,0.423,0.672,0.706,3.35
Azamgarh,2017,0.629,0.439,0.51,0.623,0.71,3.44
Azamgarh,2018,0.614,0.445,0.396,0.639,0.703,3.69
Baghpat,2006,0.573,0.491,0.477,0.491,0.62,4.03
Baghpat,2007,0.557,0.466,0.421,0.484,0.488,3.36
Baghpat,2008,0.587,0.496,0.427,0.528,0.632,3.8
Baghpat,2009,0.586,0.465,0.422,0.46,0.604,3.63
Baghpat,2010,0.575,0.487,0.405,0.389,0.612,4.12
Baghpat,2011,0.586,0.465,0.375,0.445,0.549,4.24
Baghpat,2012,0.596,0.491,0.456,0.445,0.611,4.45
Baghpat,2013,0.64,0.524,0.466,0.475,0.623,4.5
Baghpat,2014,0.564,0.463,0.417,0.51,0.568,3.39
Baghpat,2015,0.587,0.502,0.446,0.442,0.579,4.14
Baghpat,2016,0.562,0.493,0.421,0.555,0.622,4.74
Baghpat,2017,0.613,0.488,0.467,0.494,0.603,4.43
Baghpat,2018,0.626,0.519,0.445,0.502,0.599,4.56
Baharaich,2006,0.6,0.429,0.447,0.539,0.609,2.64
Baharaich,2007,0.616,0.421,0.43,0.554,0.568,2.75
Baharaich,2008,0.556,0.393,0.425,0.593,0.619,2.83
Baharaich,2009,0.598,0.425,0.425,0.562,0.633,2.6
Baharaich,2010,0.611,0.432,0.369,0.509,0.616,2.9
Baharaich,2011,0.598,0.425,0.414,0.574,0.597,3.07
Baharaich,2012,0.616,0.469,0.411,0.459,0.645,2.84
Baharaich,2013,0.677,0.434,0.468,0.62,0.648,3.23
Baharaich,2014,0.647,0.423,0.505,0.64,0.651,2.38
Baharaich,2015,0.623,0.436,0.395,0.505,0.581,2.66
Baharaich,2016,0.633,0.409,0.43,0.61,0.645,3.16
Baharaich,2017,0.633,0.445,0.485,0.575,0.64,3.75
Baharaich,2018,0.591,0.426,0.447,0.598,0.656,3.79
Ballia,2006,0.613,0.417,0.469,0.541,0.675,2.47
Ballia,2007,0.602,0.393,0.428,0.646,0.643,2.6
Ballia,2008,0.55,0.358,0.433,0.667,0.652,2.71
Ballia,2009,0.538,0.379,0.396,0.602,0.661,2.54
Ballia,2010,0.629,0.488,0.395,0.586,0.671,2.93
Ballia,2011,0.538,0.379,0.414,0.634,0.67,3.25
Ballia,2012,0.577,0.436,0.371,0.599,0.718,3.38
Ballia,2013,0.6,0.437,0.414,0.566,0.715,2.87
Ballia,2014,0.619,0.378,0.433,0.673,0.659,2.27
Ballia,2015,0.569,0.398,0.37,0.594,0.672,2.71
Ballia,2016,0.616,0.411,0.41,0.671,0.709,3.94
Ballia,2017,0.586,0.417,0.48,0.604,0.709,3.62
Ballia,2018,0.577,0.419,0.409,0.686,0.722,3.84
Balrampur,2006,0.629,0.46,0.467,0.486,0.54,2.44
Balrampur,2007,0.637,0.492,0.475,0.522,0.513,3.5
Balrampur,2008,0.608,0.439,0.442,0.543,0.538,2.79
Balrampur,2009,0.61,0.469,0.466,0.526,0.565,2.89
Balrampur,2010,0.661,0.469,0.41,0.467,0.54,2.84
Balrampur,2011,0.61,0.469,0.422,0.524,0.554,2.88
Balrampur,2012,0.627,0.479,0.419,0.471,0.596,2.72
Balrampur,2013,0.671,0.473,0.473,0.563,0.596,2.76
Balrampur,2014,0.642,0.476,0.477,0.581,0.599,2.1
Balrampur,2015,0.613,0.486,0.407,0.441,0.517,2.39
Balrampur,2016,0.639,0.457,0.46,0.588,0.593,2.87
Balrampur,2017,0.687,0.512,0.49,0.53,0.579,3.65
Balrampur,2018,0.632,0.465,0.444,0.538,0.588,3.5
Banda,2006,0.425,0.419,0.524,0.559,0.51,1.47
Banda,2007,0.421,0.369,0.403,0.462,0.475,1.33
Banda,2008,0.441,0.385,0.536,0.616,0.537,1.81
Banda,2009,0.441,0.436,0.574,0.633,0.627,1.68
Banda,2010,0.464,0.425,0.439,0.508,0.573,1.81
Banda,2011,0.441,0.436,0.45,0.592,0.63,2.09
Banda,2012,0.496,0.384,0.442,0.548,0.621,2.23
Banda,2013,0.5,0.446,0.472,0.661,0.686,1.9
Banda,2014,0.482,0.423,0.466,0.649,0.654,0.91
Banda,2015,0.438,0.343,0.316,0.414,0.523,1.2
Banda,2016,0.485,0.42,0.468,0.615,0.624,2.34
Banda,2017,0.499,0.412,0.502,0.608,0.627,2.29
Banda,2018,0.48,0.42,0.408,0.591,0.653,3.06
Barabanki,2006,0.577,0.396,0.525,0.605,0.634,2.96
Barabanki,2007,0.629,0.397,0.423,0.594,0.615,2.91
Barabanki,2008,0.577,0.411,0.471,0.635,0.629,3.07
Barabanki,2009,0.6,0.418,0.43,0.602,0.677,3.08
Barabanki,2010,0.636,0.472,0.392,0.535,0.673,3.25
Barabanki,2011,0.6,0.418,0.443,0.613,0.648,3.51
Barabanki,2012,0.637,0.399,0.424,0.576,0.694,3.72
Barabanki,2013,0.704,0.406,0.485,0.625,0.683,3.55
Barabanki,2014,0.651,0.407,0.531,0.712,0.722,2.37
Barabanki,2015,0.625,0.361,0.435,0.614,0.649,2.97
Barabanki,2016,0.595,0.389,0.473,0.681,0.713,3.64
Barabanki,2017,0.65,0.406,0.512,0.637,0.672,4.02
Barabanki,2018,0.619,0.409,0.52,0.678,0.711,3.95
Bareilly,2006,0.617,0.423,0.493,0.549,0.625,2.85
Bareilly,2007,0.608,0.429,0.398,0.553,0.564,2.82
Bareilly,2008,0.534,0.387,0.448,0.626,0.653,2.99
Bareilly,2009,0.612,0.42,0.461,0.61,0.681,2.79
Bareilly,2010,0.549,0.388,0.398,0.51,0.663,2.91
Bareilly,2011,0.612,0.42,0.426,0.554,0.564,3.25
Bareilly,2012,0.633,0.442,0.437,0.481,0.634,3.07
Bareilly,2013,0.693,0.424,0.503,0.64,0.686,3.15
Bareilly,2014,0.583,0.382,0.503,0.665,0.68,1.86
Bareilly,2015,0.555,0.408,0.434,0.546,0.622,2.93
Bareilly,2016,0.53,0.43,0.46,0.633,0.679,3.66
Bareilly,2017,0.621,0.448,0.535,0.593,0.663,3.67
Bareilly,2018,0.615,0.447,0.493,0.631,0.674,3.91
Basti,2006,0.662,0.423,0.478,0.539,0.625,2.37
Basti,2007,0.63,0.461,0.456,0.588,0.6,2.42
Basti,2008,0.573,0.41,0.413,0.623,0.639,2.78
Basti,2009,0.62,0.433,0.429,0.579,0.661,2.46
Basti,2010,0.677,0.483,0.4,0.511,0.659,2.77
Basti,2011,0.62,0.433,0.415,0.599,0.659,3.15
Basti,2012,0.66,0.467,0.377,0.545,0.686,2.91
Basti,2013,0.694,0.471,0.47,0.582,0.682,3.22
Basti,2014,0.657,0.434,0.465,0.622,0.667,2.12
Basti,2015,0.641,0.414,0.364,0.516,0.653,2.62
Basti,2016,0.662,0.438,0.401,0.628,0.704,3.18
Basti,2017,0.673,0.454,0.449,0.59,0.697,3.94
Basti,2018,0.642,0.449,0.412,0.64,0.718,3.76
Bijnor,2006,0.65,0.532,0.487,0.485,0.562,2.95
Bijnor,2007,0.621,0.512,0.448,0.49,0.498,2.93
Bijnor,2008,0.578,0.488,0.454,0.55,0.592,2.99
Bijnor,2009,0.641,0.507,0.435,0.493,0.562,2.86
Bijnor,2010,0.618,0.499,0.455,0.441,0.562,3.05
Bijnor,2011,0.641,0.507,0.452,0.485,0.514,3.2
Bijnor,2012,0.658,0.547,0.483,0.459,0.572,3.19
Bijnor,2013,0.692,0.535,0.496,0.507,0.59,3.3
Bijnor,2014,0.668,0.514,0.482,0.56,0.564,2.7
Bijnor,2015,0.686,0.534,0.478,0.465,0.545,3.1
Bijnor,2016,0.624,0.539,0.476,0.539,0.581,3.46
Bijnor,2017,0.667,0.539,0.521,0.511,0.565,3.62
Bijnor,2018,0.645,0.561,0.512,0.528,0.573,3.75
Bulandsahar,2006,0.517,0.404,0.509,0.569,0.7,3.77
Bulandsahar,2007,0.509,0.404,0.383,0.613,0.618,3.57
Bulandsahar,2008,0.535,0.412,0.433,0.626,0.708,3.96
Bulandsahar,2009,0.571,0.419,0.415,0.619,0.696,3.71
Bulandsahar,2010,0.552,0.414,0.393,0.51,0.713,3.95
Bulandsahar,2011,0.571,0.419,0.425,0.6,0.616,4.22
Bulandsahar,2012,0.542,0.415,0.444,0.561,0.691,4.03
Bulandsahar,2013,0.576,0.418,0.514,0.649,0.722,4.12
Bulandsahar,2014,0.523,0.369,0.502,0.702,0.708,2.73
Bulandsahar,2015,0.549,0.398,0.466,0.557,0.67,3.87
Bulandsahar,2016,0.508,0.423,0.463,0.675,0.728,4.27
Bulandsahar,2017,0.535,0.421,0.532,0.649,0.707,4.54
Bulandsahar,2018,0.558,0.426,0.501,0.668,0.7,4.53
Chandauli,2006,0.698,0.52,0.375,0.466,0.663,2.26
Chandauli,2007,0.745,0.621,0.34,0.624,0.637,2.26
Chandauli,2008,0.721,0.487,0.338,0.579,0.617,2.32
Chandauli,2009,0.659,0.563,0.39,0.534,0.667,2.07
Chandauli,2010,0.736,0.625,0.346,0.465,0.656,2.54
Chandauli,2011,0.659,0.563,0.338,0.531,0.637,2.54
Chandauli,2012,0.722,0.625,0.337,0.508,0.692,2.99
Chandauli,2013,0.752,0.598,0.352,0.544,0.69,2.63
Chandauli,2014,0.746,0.575,0.35,0.609,0.659,1.47
Chandauli,2015,0.731,0.601,0.324,0.46,0.64,1.92
Chandauli,2016,0.772,0.566,0.336,0.618,0.694,2.88
Chandauli,2017,0.763,0.589,0.347,0.561,0.657,3.37
Chandauli,2018,0.726,0.628,0.332,0.597,0.691,3.75
Deoria,2006,0.67,0.421,0.538,0.565,0.706,2.51
Deoria,2007,0.628,0.4,0.469,0.657,0.649,2.75
Deoria,2008,0.571,0.365,0.456,0.708,0.69,2.72
Deoria,2009,0.586,0.391,0.4,0.639,0.695,2.54
Deoria,2010,0.658,0.484,0.419,0.639,0.718,2.96
Deoria,2011,0.587,0.391,0.45,0.678,0.698,3.08
Deoria,2012,0.625,0.426,0.388,0.616,0.741,3.11
Deoria,2013,0.666,0.441,0.439,0.532,0.737,3.02
Deoria,2014,0.671,0.42,0.502,0.688,0.685,1.88
Deoria,2015,0.583,0.397,0.399,0.614,0.713,2.54
