District,Year,june,july,august,september,october,november,Yield
Rupnagar,2007,0.333,0.574,0.752,0.742,0.577,0.357,3.7
Rupnagar,2008,0.371,0.552,0.766,0.713,0.541,0.368,3.86
Rupnagar,2009,0.274,0.454,0.745,0.767,0.595,0.364,3.55
Rupnagar,2010,0.335,0.457,0.801,0.761,0.641,0.378,3.87
Rupnagar,2011,0.349,0.454,0.745,0.767,0.595,0.364,3.34
Rupnagar,2012,0.281,0.459,0.768,0.808,0.656,0.396,3.82
Rupnagar,2013,0.374,0.687,0.807,0.726,0.581,0.402,3.46
Rupnagar,2014,0.314,0.524,0.734,0.761,0.524,0.368,3.58
S.A.S Nagar,2006,0.215,0.37,0.678,0.689,0.525,0.345,2.83
S.A.S Nagar,2007,0.262,0.471,0.675,0.674,0.507,0.345,3.55
S.A.S Nagar,2008,0.24,0.509,0.708,0.641,0.46,0.367,3.26
S.A.S Nagar,2009,0.226,0.392,0.677,0.703,0.53,0.358,3.27
S.A.S Nagar,2010,0.229,0.441,0.75,0.699,0.561,0.365,3.43
S.A.S Nagar,2011,0.234,0.392,0.677,0.703,0.53,0.358,3.72
S.A.S Nagar,2012,0.19,0.379,0.709,0.746,0.568,0.372,3.77
S.A.S Nagar,2013,0.229,0.592,0.732,0.678,0.502,0.378,3.52
S.A.S Nagar,2014,0.202,0.429,0.673,0.683,0.435,0.369,3.24
Sangrur,2006,0.279,0.497,0.796,0.76,0.563,0.321,4.52
Sangrur,2007,0.298,0.558,0.79,0.749,0.584,0.285,4.61
Sangrur,2008,0.347,0.499,0.765,0.758,0.544,0.3,4.62
Sangrur,2009,0.259,0.52,0.765,0.793,0.583,0.238,4.7
Sangrur,2010,0.284,0.356,0.82,0.775,0.626,0.297,4.36
Sangrur,2011,0.312,0.52,0.765,0.793,0.583,0.238,4.34
Sangrur,2012,0.241,0.445,0.754,0.823,0.65,0.329,4.71
Sangrur,2013,0.328,0.497,0.762,0.756,0.591,0.308,4.73
Sangrur,2014,0.27,0.508,0.764,0.78,0.543,0.322,4.73
Tarn Tarn,2006,0.252,0.517,0.73,0.632,0.387,0.343,2.97
Tarn Tarn,2007,0.303,0.581,0.687,0.619,0.39,0.31,3.15
Tarn Tarn,2008,0.242,0.492,0.704,0.689,0.411,0.306,3.11
Tarn Tarn,2009,0.232,0.406,0.736,0.755,0.569,0.289,3.08
Tarn Tarn,2010,0.227,0.385,0.739,0.738,0.551,0.33,2.91
Tarn Tarn,2011,0.25,0.406,0.736,0.755,0.569,0.289,2.83
Tarn Tarn,2012,0.213,0.401,0.75,0.775,0.476,0.322,3.35
Tarn Tarn,2013,0.245,0.461,0.751,0.722,0.489,0.299,3.36
Tarn Tarn,2014,0.205,0.38,0.704,0.753,0.475,0.334,3.07
