District,Year,june,july,august,september,october,november,Yield
Ballia,2019,0.242,0.293,0.4,0.654,0.648,0.452,2.84
Balrampur,2006,0.374,0.502,0.637,0.704,0.629,0.46,1.82
Balrampur,2007,0.396,0.447,0.577,0.668,0.637,0.492,2.04
Balrampur,2008,0.406,0.444,0.648,0.7,0.608,0.439,2.63
Balrampur,2009,0.36,0.464,0.586,0.709,0.61,0.469,1.77
Balrampur,2010,0.282,0.46,0.567,0.685,0.661,0.469,2.18
Balrampur,2011,0.428,0.464,0.586,0.709,0.61,0.469,2.2
Balrampur,2012,0.281,0.426,0.592,0.703,0.627,0.479,2.32
Balrampur,2013,0.401,0.493,0.698,0.716,0.671,0.473,2.21
Balrampur,2014,0.319,0.472,0.644,0.69,0.642,0.476,1.83
Balrampur,2015,0.365,0.52,0.616,0.703,0.613,0.486,1.8
Balrampur,2016,0.378,0.524,0.708,0.701,0.639,0.457,2.15
Balrampur,2017,0.389,0.524,0.592,0.744,0.687,0.512,2.45
Balrampur,2018,0.382,0.486,0.659,0.764,0.632,0.465,2.71
Balrampur,2019,0.369,0.452,0.567,0.772,0.717,0.542,2.77
Banda,2006,0.206,0.32,0.49,0.496,0.425,0.419,0.88
Banda,2007,0.212,0.281,0.501,0.554,0.421,0.369,0.63
Banda,2008,0.238,0.351,0.52,0.508,0.441,0.385,1.44
Banda,2009,0.201,0.319,0.429,0.543,0.441,0.436,1.06
Banda,2010,0.2,0.329,0.548,0.567,0.464,0.425,1.15
Banda,2011,0.2,0.319,0.429,0.543,0.441,0.436,1.48
Banda,2012,0.19,0.319,0.564,0.584,0.496,0.384,1.75
Banda,2013,0.283,0.415,0.522,0.554,0.5,0.446,1.81
Banda,2014,0.237,0.241,0.475,0.567,0.482,0.423,1.79
Banda,2015,0.225,0.385,0.527,0.541,0.438,0.343,1.3
Banda,2016,0.204,0.305,0.487,0.565,0.485,0.42,1.72
Banda,2017,0.213,0.326,0.545,0.575,0.499,0.412,1.97
Banda,2018,0.208,0.296,0.442,0.611,0.48,0.42,2.11
Banda,2019,0.219,0.366,0.489,0.64,0.613,0.471,2.63
Barabanki,2006,0.473,0.434,0.622,0.678,0.577,0.396,2.06
Barabanki,2007,0.479,0.399,0.633,0.689,0.629,0.397,1.51
Barabanki,2008,0.443,0.5,0.563,0.649,0.577,0.411,2.06
Barabanki,2009,0.385,0.431,0.655,0.722,0.6,0.418,2.31
Barabanki,2010,0.373,0.486,0.563,0.707,0.636,0.472,2.38
Barabanki,2011,0.433,0.431,0.655,0.722,0.6,0.418,2.73
Barabanki,2012,0.376,0.331,0.6,0.737,0.637,0.399,3.06
Barabanki,2013,0.543,0.468,0.613,0.73,0.704,0.406,2.86
Barabanki,2014,0.39,0.397,0.628,0.703,0.651,0.407,2.76
Barabanki,2015,0.356,0.483,0.669,0.713,0.625,0.361,2.75
Barabanki,2016,0.403,0.404,0.702,0.737,0.595,0.389,2.73
Barabanki,2017,0.402,0.448,0.684,0.783,0.65,0.406,2.87
Barabanki,2018,0.408,0.404,0.641,0.758,0.619,0.409,2.89
Barabanki,2019,0.451,0.42,0.555,0.729,0.748,0.44,3.4
Bareilly,2006,0.471,0.434,0.653,0.704,0.617,0.423,1.79
Bareilly,2007,0.478,0.525,0.595,0.701,0.608,0.429,1.93
Bareilly,2008,0.405,0.493,0.645,0.66,0.534,0.387,1.75
Bareilly,2009,0.296,0.398,0.601,0.731,0.612,0.42,1.79
Bareilly,2010,0.326,0.506,0.57,0.707,0.549,0.388,1.66
Bareilly,2011,0.432,0.399,0.601,0.731,0.612,0.42,2.52
Bareilly,2012,0.338,0.402,0.656,0.761,0.633,0.442,2.23
Bareilly,2013,0.526,0.557,0.657,0.709,0.693,0.424,2.25
Bareilly,2014,0.361,0.421,0.666,0.71,0.583,0.382,2.06
Bareilly,2015,0.367,0.537,0.661,0.717,0.555,0.408,2.06
Bareilly,2016,0.395,0.505,0.708,0.739,0.53,0.43,2.24
Bareilly,2017,0.392,0.582,0.693,0.774,0.621,0.448,2.46
Bareilly,2018,0.387,0.458,0.697,0.704,0.615,0.447,2.67
Bareilly,2019,0.42,0.544,0.645,0.776,0.672,0.486,2.39
Basti,2006,0.372,0.476,0.685,0.707,0.662,0.423,1.51
Basti,2007,0.383,0.394,0.611,0.703,0.63,0.461,1.85
Basti,2008,0.332,0.44,0.605,0.651,0.573,0.41,2
Basti,2009,0.345,0.458,0.69,0.759,0.62,0.433,2.13
Basti,2010,0.283,0.471,0.587,0.711,0.677,0.483,2.11
Basti,2011,0.376,0.458,0.69,0.759,0.62,0.433,2.59
Basti,2012,0.277,0.374,0.659,0.751,0.66,0.467,2.46
Basti,2013,0.4,0.454,0.701,0.734,0.694,0.471,2.52
Basti,2014,0.306,0.428,0.666,0.725,0.657,0.434,1.94
Basti,2015,0.312,0.542,0.617,0.712,0.641,0.414,1.88
