District,Year,june,july,august,september,october,Yield
KISHANGANJ,2009,0.562,0.488,0.531,0.761,0.717,1.5
KISHANGANJ,2010,0.605,0.497,0.553,0.724,0.734,1.9
KISHANGANJ,2011,0.62,0.488,0.531,0.761,0.717,1.88
KISHANGANJ,2012,0.555,0.519,0.727,0.763,0.738,2.17
KISHANGANJ,2013,0.651,0.45,0.653,0.787,0.737,2.49
KISHANGANJ,2014,0.575,0.535,0.635,0.768,0.739,2.62
LAKHISARAI,2006,0.314,0.419,0.501,0.612,0.596,0
LAKHISARAI,2007,0.313,0.407,0.353,0.619,0.617,0
LAKHISARAI,2008,0.281,0.375,0.408,0.597,0.631,0
LAKHISARAI,2009,0.326,0.405,0.448,0.601,0.614,0
LAKHISARAI,2010,0.252,0.423,0.475,0.537,0.521,0
LAKHISARAI,2011,0.36,0.405,0.448,0.601,0.613,0
LAKHISARAI,2012,0.22,0.372,0.516,0.55,0.548,0
LAKHISARAI,2013,0.401,0.516,0.462,0.529,0.614,0
LAKHISARAI,2014,0.354,0.47,0.469,0.661,0.647,0
MADHEPURA,2006,0.536,0.532,0.622,0.715,0.669,1.6
MADHEPURA,2007,0.523,0.541,0.521,0.706,0.647,1.62
MADHEPURA,2008,0.527,0.493,0.489,0.464,0.524,1.83
MADHEPURA,2009,0.582,0.564,0.551,0.753,0.693,1.1
MADHEPURA,2010,0.579,0.51,0.543,0.697,0.679,1.76
MADHEPURA,2011,0.64,0.565,0.551,0.754,0.694,1.64
MADHEPURA,2012,0.466,0.456,0.6,0.751,0.714,1.84
MADHEPURA,2013,0.647,0.505,0.564,0.716,0.705,2.02
MADHEPURA,2014,0.541,0.487,0.581,0.745,0.731,1.38
MADUBANI,2006,0.384,0.414,0.518,0.622,0.639,1.28
MADUBANI,2007,0.397,0.412,0.425,0.679,0.677,1.26
MADUBANI,2008,0.448,0.426,0.543,0.737,0.702,1.72
MADUBANI,2009,0.438,0.45,0.477,0.736,0.702,1.06
MADUBANI,2010,0.373,0.453,0.511,0.69,0.689,1.82
MADUBANI,2011,0.5,0.45,0.477,0.736,0.702,1.82
MADUBANI,2012,0.35,0.374,0.565,0.679,0.687,2.14
MADUBANI,2013,0.481,0.455,0.62,0.72,0.707,2.03
MADUBANI,2014,0.41,0.488,0.605,0.721,0.74,1.74
MUNGER,2006,0.363,0.453,0.5,0.601,0.605,0
MUNGER,2007,0.374,0.48,0.392,0.611,0.603,1.5
MUNGER,2008,0.318,0.407,0.446,0.583,0.626,1.76
MUNGER,2009,0.361,0.53,0.486,0.668,0.639,1.91
MUNGER,2010,0.258,0.486,0.51,0.553,0.571,1.76
MUNGER,2011,0.374,0.53,0.486,0.668,0.638,2.56
MUNGER,2012,0.225,0.345,0.502,0.622,0.593,2.33
MUNGER,2013,0.426,0.486,0.426,0.512,0.6,2.16
MUNGER,2014,0.377,0.497,0.474,0.641,0.641,2.42
MUZAFFARPUR,2006,0.385,0.409,0.527,0.624,0.576,0
MUZAFFARPUR,2007,0.376,0.393,0.335,0.483,0.51,0.5
MUZAFFARPUR,2008,0.39,0.4,0.513,0.661,0.642,1.76
MUZAFFARPUR,2009,0.439,0.421,0.523,0.666,0.587,1.91
MUZAFFARPUR,2010,0.347,0.434,0.471,0.619,0.619,1.76
MUZAFFARPUR,2011,0.443,0.421,0.523,0.667,0.587,2.56
