District,Year,november,december,january,february,Yield
Nawanshahr,2007,0.349,0.572,0.688,0.691,4.56
Nawanshahr,2008,0.372,0.555,0.737,0.743,3.91
Nawanshahr,2009,0.35,0.49,0.645,0.741,4.27
Nawanshahr,2010,0.383,0.537,0.693,0.749,4.7
Nawanshahr,2011,0.35,0.575,0.705,0.732,5.16
Nawanshahr,2012,0.396,0.493,0.69,0.761,4.78
Nawanshahr,2013,0.386,0.56,0.724,0.777,4.95
Nawanshahr,2014,0.391,0.545,0.706,0.762,3.71
Pathankot,2006,0.417,0.671,0.682,0.752,4.17
Pathankot,2007,0.341,0.554,0.711,0.724,4.56
Pathankot,2008,0.331,0.539,0.709,0.751,3.91
Pathankot,2009,0.33,0.45,0.63,0.727,4.17
Pathankot,2010,0.365,0.514,0.688,0.762,4.56
Pathankot,2011,0.33,0.539,0.665,0.73,3.91
Pathankot,2012,0.373,0.526,0.705,0.761,4.12
Pathankot,2013,0.381,0.607,0.712,0.776,3.98
Pathankot,2014,0.354,0.553,0.683,0.748,2.74
Patiala,2006,0.343,0.705,0.739,0.788,4.61
Patiala,2007,0.283,0.606,0.75,0.75,4.72
Patiala,2008,0.298,0.645,0.8,0.796,4.7
Patiala,2009,0.271,0.559,0.743,0.79,4.52
Patiala,2010,0.326,0.568,0.726,0.806,4.83
Patiala,2011,0.271,0.611,0.768,0.786,5.47
Patiala,2012,0.322,0.555,0.757,0.815,4.8
Patiala,2013,0.337,0.675,0.773,0.804,4.97
Patiala,2014,0.356,0.627,0.772,0.817,4.39
Rupnagar,2006,0.379,0.629,0.629,0.726,3.79
Rupnagar,2007,0.357,0.59,0.692,0.697,4.13
Rupnagar,2008,0.368,0.592,0.725,0.719,3.31
Rupnagar,2009,0.364,0.469,0.622,0.726,4.26
Rupnagar,2010,0.378,0.513,0.675,0.748,3.89
Rupnagar,2011,0.364,0.573,0.713,0.728,4.64
Rupnagar,2012,0.396,0.502,0.673,0.764,4.51
Rupnagar,2013,0.402,0.594,0.729,0.765,4.58
Rupnagar,2014,0.368,0.536,0.719,0.758,4.03
S.A.S Nagar,2006,0.345,0.524,0.538,0.644,3.86
S.A.S Nagar,2007,0.345,0.518,0.6,0.609,3.98
S.A.S Nagar,2008,0.367,0.531,0.649,0.649,4.24
S.A.S Nagar,2009,0.358,0.455,0.577,0.66,4.49
S.A.S Nagar,2010,0.365,0.481,0.591,0.681,4.28
S.A.S Nagar,2011,0.358,0.522,0.633,0.651,4.79
S.A.S Nagar,2012,0.372,0.448,0.591,0.698,4.31
S.A.S Nagar,2013,0.378,0.523,0.638,0.697,4.47
S.A.S Nagar,2014,0.369,0.509,0.637,0.677,3.96
Sangrur,2006,0.321,0.718,0.767,0.813,4.43
Sangrur,2007,0.285,0.591,0.781,0.782,4.69
Sangrur,2008,0.3,0.668,0.815,0.822,4.75
Sangrur,2009,0.238,0.541,0.767,0.802,4.54
Sangrur,2010,0.297,0.546,0.756,0.813,5.13
Sangrur,2011,0.238,0.626,0.775,0.806,5.49
Sangrur,2012,0.329,0.54,0.764,0.825,5.17
Sangrur,2013,0.308,0.675,0.781,0.816,5.5
Sangrur,2014,0.322,0.62,0.778,0.833,4.81
Tarn Tarn,2006,0.343,0.711,0.742,0.821,4.14
Tarn Tarn,2007,0.31,0.587,0.779,0.789,4.43
Tarn Tarn,2008,0.306,0.544,0.763,0.81,4.6
Tarn Tarn,2009,0.289,0.439,0.731,0.786,4.15
Tarn Tarn,2010,0.33,0.458,0.724,0.791,4.57
Tarn Tarn,2011,0.289,0.528,0.717,0.792,4.88
Tarn Tarn,2012,0.322,0.459,0.732,0.813,4.38
Tarn Tarn,2013,0.299,0.608,0.733,0.808,5.09
Tarn Tarn,2014,0.334,0.504,0.712,0.801,4.13
